,Symbol,Count,Count_Long,Count_Short,win,win_long,win_short,PnL_ratio_mean,PnL_ratio_long_mean,PnL_ratio_short_mean,TP_Touches,TP_Touches_long,TP_Touches_short,Len_of_traded_days
571,SFBS,14,8,6,0.6428571428571429,0.375,1.0,0.0017838907961268229,-0.02273032438679594,0.03446951104002384,0.0,0.0,0.0,14
572,LBRT,27,15,12,0.4444444444444444,0.6,0.25,-0.009183629902639892,0.005659163988102799,-0.027737122266068264,0.0,0.0,0.0,35
573,OGS,6,5,1,0.6666666666666666,0.8,0.0,0.033070505807998335,0.042826069155232765,-0.015707310928173828,0.0,0.0,0.0,3
574,ALRM,9,1,8,0.6666666666666666,0.0,0.75,0.015608768932366148,-0.06110189082520467,0.0251976014020625,0.0,0.0,0.0,11
575,VC,1,1,0,1.0,1.0,,0.07327792956272343,0.07327792956272343,,0.0,0.0,,5
576,AXNX,25,10,15,0.6,0.7,0.5333333333333333,0.0089628643699156,0.014862806078140983,0.005029569897765349,0.0,0.0,0.0,22
577,HI,9,8,1,0.8888888888888888,0.875,1.0,0.02375797469783848,0.01654617988694057,0.08145233318502174,0.0,0.0,0.0,14
578,MHO,1,0,1,0.0,,0.0,-0.0004616277174312187,,-0.0004616277174312187,0.0,,0.0,11
579,NSP,7,6,1,0.5714285714285714,0.5,1.0,0.009233451958828557,0.006741869073470086,0.02418294927097938,0.0,0.0,0.0,13
580,FRSH,35,13,22,0.6,0.8461538461538461,0.45454545454545453,0.005131922083160661,0.0038326781687234362,0.005899657123509928,0.0,0.0,0.0,42
581,BHVN,72,23,49,0.5,0.5652173913043478,0.46938775510204084,0.001100927006069398,0.03300876401927321,-0.013876220979720145,0.0,0.0,0.0,98
582,DY,13,6,7,0.38461538461538464,0.16666666666666666,0.5714285714285714,-0.011645154379287297,-0.02387675547770718,-0.0011609248663559657,0.0,0.0,0.0,28
583,STNG,31,10,21,0.41935483870967744,0.4,0.42857142857142855,-0.009438673833355686,0.007288533421754997,-0.01740401062150363,0.0,0.0,0.0,27
584,CCOI,12,5,7,0.3333333333333333,0.4,0.2857142857142857,-0.007230086217353816,-0.0010005812154564528,-0.011679732647280507,0.0,0.0,0.0,25
585,REZI,10,6,4,0.6,0.6666666666666666,0.5,0.0007547355676591292,0.002854986654967038,-0.002395641063302735,0.0,0.0,0.0,6
586,DBRG,24,12,12,0.5416666666666666,0.6666666666666666,0.4166666666666667,-0.008418540894502705,0.009587405143779143,-0.02642448693278455,0.0,0.0,0.0,37
587,AXSM,64,29,35,0.5,0.4827586206896552,0.5142857142857142,-0.004145519810701073,0.000841514621315291,-0.008277634054371779,0.0,0.0,0.0,54
